date,US_Expense,US_Business,US_Cost,US_Tax,US_Investment,US_Credit,US_Technology,US_Economy,US_Innovation,US_Income,US_Salary,US_Manufacturing,US_Loan,US_Investor,US_Business_loan,US_Investment_fund,US_Investment_banking,US_Tax_credit,US_Research_&_Experimentation_Tax_Credit,US_Stock,US_Small_Business_Innovation_Research,US_Income_statement,US_Budget,US_Education,US_Medicine,US_Scholarship,US_Collaboration,US_Data,US_Health,US_Disease,US_Job,US_Career,US_Laboratory,US_Wage,US_Tax_deduction,US_Tax_report,US_Research_and_Development_Tax_Credit,US_Tax_incentive,US_Innovation_management,US_Entrepreneurship,US_Patent,US_Trademark,US_Patent_application,US_Law,US_Patent_office,US_Invention,US_Law_firm,US_Trademark_attorney,US_Patent_infringement,US_Capitalization,US_Energy,US_Business_model,US_Subsidy,US_Sustainability,US_Semiconductor,US_Investment_management,US_Employment,CN_Expense,CN_Business,CN_Cost,CN_Tax,CN_Investment,CN_Credit,CN_Technology,CN_Economy,CN_Innovation,CN_Income,CN_Salary,CN_Manufacturing,CN_Loan,CN_Investor,CN_Business_loan,CN_Investment_fund,CN_Investment_banking,CN_Tax_credit,CN_Stock,CN_Small_Business_Innovation_Research,CN_Income_statement,CN_Budget,CN_Education,CN_Medicine,CN_Scholarship,CN_Collaboration,CN_Data,CN_Health,CN_Disease,CN_Job,CN_Career,CN_Laboratory,CN_Wage,CN_Tax_deduction,CN_Tax_report,CN_Tax_incentive,CN_Innovation_management,CN_Entrepreneurship,CN_Patent,CN_Trademark,CN_Patent_application,CN_Law,CN_Patent_office,CN_Invention,CN_Law_firm,CN_Patent_infringement,CN_Capitalization,CN_Energy,CN_Business_model,CN_Subsidy,CN_Sustainability,CN_Semiconductor,CN_Investment_management,CN_Employment,JP_Expense,JP_Business,JP_Cost,JP_Tax,JP_Investment,JP_Credit,JP_Technology,JP_Economy,JP_Innovation,JP_Income,JP_Salary,JP_Manufacturing,JP_Loan,JP_Investor,JP_Business_loan,JP_Investment_fund,JP_Investment_banking,JP_Tax_credit,JP_Stock,JP_Small_Business_Innovation_Research,JP_Income_statement,JP_Budget,JP_Education,JP_Medicine,JP_Scholarship,JP_Collaboration,JP_Data,JP_Health,JP_Disease,JP_Job,JP_Career,JP_Laboratory,JP_Wage,JP_Tax_deduction,JP_Tax_report,JP_Tax_incentive,JP_Innovation_management,JP_Entrepreneurship,JP_Patent,JP_Trademark,JP_Patent_application,JP_Law,JP_Patent_office,JP_Invention,JP_Law_firm,JP_Trademark_attorney,JP_Patent_infringement,JP_Capitalization,JP_Energy,JP_Business_model,JP_Subsidy,JP_Sustainability,JP_Semiconductor,JP_Investment_management,JP_Employment,DE_Expense,DE_Business,DE_Cost,DE_Tax,DE_Investment,DE_Credit,DE_Technology,DE_Economy,DE_Innovation,DE_Income,DE_Salary,DE_Manufacturing,DE_Loan,DE_Investor,DE_Business_loan,DE_Investment_fund,DE_Investment_banking,DE_Tax_credit,DE_Research_&_Experimentation_Tax_Credit,DE_Stock,DE_Small_Business_Innovation_Research,DE_Income_statement,DE_Budget,DE_Medicine,DE_Scholarship,DE_Collaboration,DE_Data,DE_Health,DE_Disease,DE_Job,DE_Career,DE_Laboratory,DE_Wage,DE_Tax_deduction,DE_Tax_report,DE_Research_and_Development_Tax_Credit,DE_Tax_incentive,DE_Innovation_management,DE_Entrepreneurship,DE_Patent,DE_Trademark,DE_Patent_application,DE_Law,DE_Patent_office,DE_Invention,DE_Law_firm,DE_Trademark_attorney,DE_Patent_infringement,DE_Capitalization,DE_Energy,DE_Business_model,DE_Subsidy,DE_Sustainability,DE_Semiconductor,DE_Investment_management,DE_Employment,KR_Expense,KR_Business,KR_Cost,KR_Tax,KR_Investment,KR_Credit,KR_Technology,KR_Economy,KR_Innovation,KR_Income,KR_Salary,KR_Manufacturing,KR_Loan,KR_Investor,KR_Business_loan,KR_Investment_fund,KR_Investment_banking,KR_Tax_credit,KR_Research_&_Experimentation_Tax_Credit,KR_Stock,KR_Small_Business_Innovation_Research,KR_Income_statement,KR_Budget,KR_Education,KR_Medicine,KR_Scholarship,KR_Collaboration,KR_Data,KR_Health,KR_Disease,KR_Job,KR_Career,KR_Laboratory,KR_Wage,KR_Tax_deduction,KR_Tax_report,KR_Research_and_Development_Tax_Credit,KR_Tax_incentive,KR_Innovation_management,KR_Entrepreneurship,KR_Patent,KR_Trademark,KR_Patent_application,KR_Law,KR_Patent_office,KR_Invention,KR_Law_firm,KR_Trademark_attorney,KR_Patent_infringement,KR_Capitalization,KR_Energy,KR_Business_model,KR_Subsidy,KR_Sustainability,KR_Semiconductor,KR_Investment_management,KR_Employment,CA_Expense,CA_Business,CA_Cost,CA_Tax,CA_Investment,CA_Credit,CA_Technology,CA_Economy,CA_Innovation,CA_Income,CA_Salary,CA_Manufacturing,CA_Loan,CA_Investor,CA_Business_loan,CA_Investment_fund,CA_Investment_banking,CA_Tax_credit,CA_Research_&_Experimentation_Tax_Credit,CA_Stock,CA_Small_Business_Innovation_Research,CA_Income_statement,CA_Budget,CA_Education,CA_Medicine,CA_Scholarship,CA_Collaboration,CA_Data,CA_Health,CA_Disease,CA_Job,CA_Career,CA_Laboratory,CA_Wage,CA_Tax_deduction,CA_Tax_report,CA_Research_and_Development_Tax_Credit,CA_Tax_incentive,CA_Innovation_management,CA_Entrepreneurship,CA_Patent,CA_Trademark,CA_Patent_application,CA_Law,CA_Patent_office,CA_Invention,CA_Law_firm,CA_Trademark_attorney,CA_Patent_infringement,CA_Capitalization,CA_Energy,CA_Business_model,CA_Subsidy,CA_Sustainability,CA_Semiconductor,CA_Investment_management,CA_Employment,CH_Expense,CH_Business,CH_Cost,CH_Tax,CH_Investment,CH_Credit,CH_Technology,CH_Economy,CH_Innovation,CH_Income,CH_Salary,CH_Manufacturing,CH_Loan,CH_Investor,CH_Business_loan,CH_Investment_fund,CH_Investment_banking,CH_Tax_credit,CH_Stock,CH_Income_statement,CH_Budget,CH_Education,CH_Medicine,CH_Scholarship,CH_Collaboration,CH_Data,CH_Health,CH_Disease,CH_Job,CH_Career,CH_Laboratory,CH_Wage,CH_Tax_deduction,CH_Tax_report,CH_Innovation_management,CH_Entrepreneurship,CH_Patent,CH_Trademark,CH_Patent_application,CH_Law,CH_Patent_office,CH_Invention,CH_Law_firm,CH_Trademark_attorney,CH_Patent_infringement,CH_Capitalization,CH_Energy,CH_Business_model,CH_Subsidy,CH_Sustainability,CH_Semiconductor,CH_Investment_management,CH_Employment,GB_Expense,GB_Business,GB_Cost,GB_Tax,GB_Investment,GB_Credit,GB_Technology,GB_Economy,GB_Innovation,GB_Income,GB_Salary,GB_Manufacturing,GB_Loan,GB_Investor,GB_Business_loan,GB_Investment_fund,GB_Investment_banking,GB_Tax_credit,GB_Research_&_Experimentation_Tax_Credit,GB_Stock,GB_Small_Business_Innovation_Research,GB_Income_statement,GB_Budget,GB_Education,GB_Medicine,GB_Scholarship,GB_Collaboration,GB_Data,GB_Health,GB_Disease,GB_Job,GB_Career,GB_Laboratory,GB_Wage,GB_Tax_deduction,GB_Tax_report,GB_Research_and_Development_Tax_Credit,GB_Tax_incentive,GB_Innovation_management,GB_Entrepreneurship,GB_Patent,GB_Trademark,GB_Patent_application,GB_Patent_office,GB_Trademark_attorney,GB_Patent_infringement,GB_Capitalization,GB_Energy,GB_Business_model,GB_Subsidy,GB_Sustainability,GB_Investment_management,GB_Employment
2004-01-01,42,92,33,61,91,50,93,56,84,55,37,99,28,82,45,100,90,8,41,16,97,35,65,92,86,100,60,94,0,86,78,63,89,49,49,58,0,16,100,24,94,96,94,92,90,88,82,56,93,22,53,69,34,41,95,90,92,9,13,31,25,32,24,5,20,3,35,29,49,18,13,0,3,28,0,13,7,12,65,19,55,14,11,19,10,24,10,10,23,2,0,6,0,0,6,53,60,53,64,81,18,67,28,4,8,6,63,23,39,0,13,69,14,42,43,60,38,87,96,25,14,47,45,57,62,69,6,63,26,11,34,0,70,13,93,32,9,21,12,28,12,75,61,23,0,25,0,0,39,90,87,63,70,83,66,83,0,0,0,79,99,19,9,100,34,40,69,88,18,81,100,65,91,0,92,51,33,0,2,74,0,68,71,0,75,13,0,42,55,0,100,73,87,40,47,0,37,27,34,54,33,0,0,0,25,87,36,100,63,79,0,46,0,0,43,74,30,26,25,99,44,61,29,0,0,0,71,40,67,74,62,83,63,56,21,30,0,0,46,0,0,11,0,0,40,73,87,19,0,81,60,60,69,42,90,23,0,98,100,0,0,51,71,100,100,17,0,18,41,0,0,100,36,0,0,0,50,0,91,22,88,30,25,66,46,96,79,87,52,28,95,19,84,19,92,62,12,0,7,52,39,41,95,72,88,55,71,71,78,78,65,69,34,31,15,0,38,84,43,78,76,0,81,83,94,88,0,45,27,90,100,13,71,53,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,31,40,98,0,100,80,97,56,20,100,40,62,31,100,82,32,0,16,0,0,39,90,97,100,67,100,0,63,70,94,97,32,34,44,0,0,47,18,100,100,0,89,36,0,26,42,38,25,95,98,0
2004-02-01,48,94,35,72,92,52,100,71,93,66,37,96,27,84,46,86,100,10,31,14,64,43,66,99,91,93,58,99,0,86,71,66,90,46,56,85,0,11,50,21,95,92,56,94,100,100,81,19,82,24,58,82,47,46,100,93,90,12,15,42,33,48,29,8,21,4,43,39,68,25,17,0,5,29,8,20,0,13,90,24,59,16,15,27,10,31,14,8,31,3,3,12,0,4,7,68,79,81,80,83,27,87,14,8,11,7,40,19,45,0,12,55,13,41,48,56,40,100,74,18,14,43,47,62,39,72,7,66,31,15,0,0,81,13,93,35,6,19,14,29,12,81,51,27,0,55,26,72,48,100,91,63,72,43,92,86,0,0,0,80,93,20,12,89,100,39,84,100,19,78,100,68,89,0,90,54,30,0,3,82,0,64,45,43,0,13,0,51,57,0,95,57,86,39,45,0,34,30,42,90,43,75,100,0,41,92,33,54,67,100,0,47,0,0,38,66,54,21,20,100,87,61,32,0,0,0,69,33,82,70,100,51,55,76,25,0,0,0,0,0,0,12,0,63,50,76,69,22,29,85,48,59,75,39,92,97,55,55,0,0,100,0,55,62,0,21,0,45,28,45,0,0,45,0,22,35,81,87,74,26,100,31,40,78,48,99,87,100,70,28,100,18,88,13,100,50,14,0,7,0,47,53,100,73,74,42,74,70,84,79,65,79,37,35,33,100,45,100,70,100,85,100,89,86,100,95,98,69,24,94,73,14,79,82,78,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,92,27,33,94,0,100,82,88,54,19,92,34,65,23,98,100,30,0,14,0,0,36,90,94,81,61,87,0,63,68,84,100,29,31,15,35,0,77,30,98,94,53,100,51,0,0,37,66,26,92,100,0
2004-03-01,47,93,33,62,82,49,92,75,80,58,34,93,26,79,45,74,81,7,0,13,78,36,55,91,85,80,57,92,0,87,72,59,83,39,49,73,0,14,0,18,94,99,77,87,95,77,84,78,94,20,51,100,37,41,84,82,85,11,16,40,29,42,31,7,28,3,44,33,65,25,19,4,6,38,12,15,0,16,82,24,62,13,18,28,10,29,12,9,35,3,5,0,0,9,7,68,86,96,86,100,34,82,0,12,12,6,47,38,47,0,13,58,11,33,43,49,38,88,60,13,12,38,38,47,48,90,5,82,0,14,0,0,62,9,89,34,7,17,12,24,12,67,47,23,0,29,60,0,30,82,76,43,68,96,56,79,0,26,0,52,73,17,11,80,79,36,78,95,20,83,88,70,100,0,90,60,29,0,2,62,0,59,37,0,0,12,100,52,66,0,76,55,82,37,48,0,32,29,34,65,43,0,37,0,49,84,29,35,67,90,0,41,0,100,76,68,49,23,20,96,86,64,29,0,0,0,65,48,77,75,63,69,49,82,6,64,0,0,0,53,0,17,0,0,46,93,92,8,41,100,42,63,75,42,99,48,0,0,0,0,21,0,100,0,0,23,0,68,34,0,0,61,57,62,19,22,84,0,85,30,90,38,42,63,48,100,90,89,78,31,83,18,77,20,77,75,16,38,6,0,51,69,80,73,80,54,80,67,90,75,63,69,40,27,47,73,0,0,52,89,100,28,84,100,82,83,79,0,10,100,28,14,82,100,78,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,97,30,36,100,0,99,94,96,59,21,100,38,59,33,100,87,28,0,14,0,0,81,100,93,81,56,98,0,64,65,90,98,34,28,18,30,100,50,24,100,93,57,91,64,0,0,39,72,36,100,89,0
2004-04-01,48,95,38,74,91,53,94,72,91,68,38,100,29,87,53,82,76,7,0,14,94,41,60,100,100,79,65,97,0,96,77,63,96,50,42,88,0,21,74,22,96,100,100,100,97,85,86,76,89,27,56,100,43,48,89,100,95,15,15,43,34,47,31,8,31,5,44,38,69,24,18,0,6,23,10,14,0,20,81,24,57,13,19,27,10,30,12,10,30,3,2,13,6,2,8,70,82,63,94,78,34,75,21,10,12,8,62,45,44,0,17,55,13,38,39,58,40,86,71,17,12,40,43,46,45,53,7,74,23,22,100,0,63,12,92,41,8,17,13,28,12,68,51,21,0,5,0,0,35,87,75,56,62,66,57,64,0,30,53,64,97,20,17,84,58,35,82,92,20,72,98,69,92,0,100,53,29,0,2,77,0,55,70,0,0,12,21,53,52,0,84,70,84,36,44,0,35,29,24,72,36,0,35,0,70,92,35,49,64,84,0,44,0,0,44,72,44,20,21,88,80,40,36,0,0,0,56,63,90,93,34,74,52,79,27,42,0,0,28,0,0,14,39,100,30,96,77,14,53,96,60,71,76,37,90,93,0,0,0,0,0,33,67,0,0,21,0,79,100,24,0,0,59,0,0,50,85,36,85,32,85,33,45,57,44,90,92,93,71,32,80,18,66,16,70,61,14,0,6,0,39,50,74,66,80,48,70,67,84,79,59,67,36,31,46,0,0,0,42,78,97,88,80,25,91,73,0,62,24,95,0,13,61,67,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,95,29,39,95,0,95,80,88,58,20,95,43,64,37,95,66,35,82,14,0,0,35,87,100,78,58,92,0,61,65,78,91,30,19,19,0,54,100,35,88,88,35,82,0,0,26,34,100,40,87,84,0
2004-05-01,37,87,35,34,77,48,80,66,82,36,35,86,26,73,40,65,75,4,0,12,92,31,62,87,81,63,48,84,0,89,72,55,80,47,19,14,0,12,0,22,80,88,72,81,75,74,74,85,66,19,55,66,43,41,85,73,88,13,17,41,27,46,35,7,35,4,42,33,62,25,15,2,5,31,9,10,0,13,81,25,54,12,18,30,10,29,13,9,27,3,0,4,0,4,9,69,76,68,94,86,34,69,13,8,12,11,35,54,43,0,19,62,12,36,40,51,37,85,68,15,13,36,42,48,44,100,6,56,24,51,0,0,66,13,100,32,8,18,11,28,11,65,55,20,0,4,39,0,37,79,76,47,61,26,72,70,0,18,47,75,71,18,20,76,45,33,66,90,20,67,94,69,85,0,83,44,27,0,2,54,0,48,53,100,58,12,0,46,62,0,75,64,100,37,42,0,36,26,35,57,37,0,0,0,26,91,36,50,60,82,0,45,0,39,39,70,67,24,19,89,19,34,28,0,0,0,73,62,87,95,53,59,52,93,30,33,0,0,39,0,0,15,0,0,52,88,100,12,41,89,61,87,78,34,88,58,0,0,0,0,51,0,77,22,0,22,0,22,30,0,31,0,54,0,11,44,100,0,58,22,87,30,21,48,42,84,78,84,41,28,82,18,67,8,57,37,8,0,5,100,28,65,80,64,76,47,66,65,88,80,61,64,33,22,15,0,27,48,36,71,79,42,78,95,87,79,0,0,20,89,41,12,64,65,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,92,31,35,81,0,95,77,100,47,19,85,38,56,35,86,70,31,53,13,0,0,32,86,92,71,63,85,0,64,64,69,87,31,29,12,0,17,0,38,91,86,66,92,37,0,34,35,87,33,99,67,0
2004-06-01,36,92,33,34,88,52,78,39,81,34,33,91,30,75,38,70,84,5,44,12,98,34,56,75,83,55,55,93,0,78,76,55,78,49,20,13,0,12,22,20,88,92,84,87,84,36,87,78,82,22,46,79,41,38,82,87,95,13,16,41,31,46,32,7,32,5,39,37,68,26,16,0,6,31,6,11,0,17,78,26,56,11,18,26,9,30,13,7,30,3,0,4,0,5,9,73,87,63,84,96,27,74,29,9,9,6,30,49,41,0,14,48,12,38,42,51,34,85,73,20,13,39,42,52,54,0,6,55,23,48,27,0,66,12,99,27,9,18,12,29,12,72,45,21,0,4,0,0,40,91,73,44,68,54,85,76,0,10,100,80,89,18,12,88,71,37,74,91,22,63,89,68,88,0,90,45,28,0,2,82,0,42,40,23,0,11,0,50,60,0,87,58,93,37,44,0,35,29,35,64,21,0,0,0,37,91,35,17,59,88,0,48,0,62,31,77,63,20,24,90,65,31,37,0,0,0,63,38,82,83,48,75,56,79,13,0,0,0,0,0,0,16,73,29,53,91,77,19,37,95,57,71,74,41,76,82,0,0,0,0,0,60,70,34,0,23,46,41,68,0,0,0,58,45,22,49,80,85,75,22,86,31,22,56,47,82,63,84,42,27,87,23,68,7,67,60,13,0,5,0,23,45,76,66,74,44,66,68,79,83,57,61,37,18,10,0,0,0,29,87,86,0,86,83,56,95,36,86,16,77,20,10,65,67,95,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,87,26,30,76,0,84,55,80,44,19,86,39,59,27,87,58,31,0,12,0,0,29,80,83,67,54,77,0,56,72,71,85,29,18,13,0,0,21,23,84,72,0,87,0,96,26,33,65,33,75,75,0
2004-07-01,36,95,35,40,89,55,79,32,83,36,38,95,33,83,51,67,93,5,53,12,85,31,61,78,86,57,63,98,0,74,79,55,81,50,22,13,0,8,41,15,91,87,81,83,89,29,87,100,93,17,43,61,42,37,77,95,100,10,13,36,27,38,24,7,17,2,33,34,66,22,10,2,4,22,5,10,0,8,70,17,51,10,13,22,7,28,11,8,27,1,4,3,0,6,7,59,76,30,63,85,18,75,14,9,9,7,56,17,45,0,12,60,11,35,32,49,33,80,82,14,12,32,40,47,31,42,5,55,5,29,54,0,57,12,91,26,8,17,12,27,12,64,56,20,0,4,0,0,35,82,79,38,62,43,88,71,0,21,30,82,100,18,15,85,48,37,70,92,21,66,99,81,83,0,97,46,30,0,2,89,0,44,77,0,0,11,0,23,52,0,89,61,85,39,43,0,38,26,33,54,20,0,0,0,0,100,33,94,58,77,0,59,100,0,50,68,41,16,19,87,76,28,45,0,0,0,73,50,87,60,0,67,24,75,28,31,0,0,0,16,0,12,100,0,67,65,88,12,52,89,53,62,75,50,63,62,0,0,0,0,0,0,61,0,0,19,0,40,58,0,0,50,41,36,20,23,71,0,63,21,85,27,20,50,50,75,39,81,35,26,78,27,62,14,64,34,12,0,5,32,33,42,62,64,61,48,69,65,67,68,52,60,34,24,9,0,71,0,9,87,79,0,72,76,25,96,0,0,9,62,73,10,51,51,78,87,0,99,32,32,77,95,87,66,41,46,25,98,28,66,0,100,40,0,9,74,0,95,97,69,13,49,48,60,82,57,52,33,0,16,0,0,55,41,100,87,93,42,95,0,0,0,66,36,23,40,100,100,65,20,84,26,33,81,0,71,50,78,46,21,85,46,58,28,85,67,29,100,13,100,0,33,64,79,61,49,75,0,46,70,74,88,31,19,13,0,54,0,11,84,95,25,98,39,81,7,29,46,13,61,85,0
2004-08-01,37,97,32,37,84,58,77,34,85,36,35,89,32,77,49,66,83,5,55,12,100,33,54,76,77,59,57,92,0,73,71,54,82,50,25,13,0,8,54,20,90,89,96,84,79,33,88,60,84,23,44,64,40,36,76,92,98,10,13,38,29,40,27,6,16,2,32,33,67,22,13,2,4,27,0,9,0,14,71,18,54,13,14,23,8,28,12,8,27,2,5,0,0,3,7,61,78,44,65,90,24,71,9,9,10,8,49,18,41,0,15,64,11,37,35,51,32,81,60,13,11,31,36,48,59,0,5,52,14,32,0,0,56,10,86,22,7,16,13,26,11,61,56,19,0,3,0,0,42,77,72,32,58,62,62,59,0,0,47,62,70,19,8,78,26,31,58,90,22,64,88,84,75,0,87,51,29,0,2,77,0,52,38,15,0,12,0,58,56,0,81,65,93,33,42,0,31,32,36,46,20,0,0,0,20,84,32,42,57,81,0,54,0,0,22,63,41,18,16,74,61,30,31,0,0,0,66,60,75,67,68,52,43,85,17,77,0,0,100,0,0,13,0,0,78,68,86,12,32,81,39,62,91,46,73,83,51,0,0,0,19,0,73,25,0,20,0,60,45,0,55,0,54,0,13,32,55,57,56,22,86,26,19,47,48,71,32,68,36,23,82,28,56,20,55,75,10,0,5,0,15,40,62,60,59,37,63,58,63,75,51,58,29,20,8,0,29,0,34,85,81,50,67,78,26,86,0,0,15,61,58,12,48,63,92,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,79,25,32,84,0,73,46,73,47,20,81,50,57,28,88,77,30,0,13,0,0,33,65,89,61,55,77,0,48,68,73,86,30,18,15,0,0,0,27,81,91,28,79,0,60,20,30,58,28,65,89,0
2004-09-01,38,89,33,35,90,52,89,66,90,39,36,87,27,72,48,66,91,5,0,12,84,43,59,92,90,64,60,93,0,85,72,68,95,47,21,9,0,18,54,29,84,85,82,95,82,76,85,100,83,26,52,78,36,48,76,82,83,12,17,41,29,40,28,7,21,3,37,36,68,24,13,0,4,31,0,11,0,16,75,22,56,17,14,26,9,33,12,10,30,2,4,5,0,6,7,66,78,69,80,94,33,70,15,11,11,8,49,22,49,0,15,55,11,35,31,49,31,76,61,19,12,31,38,45,62,0,5,52,22,34,0,0,57,10,82,26,8,17,15,25,10,66,41,19,0,4,45,0,38,72,72,37,60,78,72,62,0,0,0,56,69,18,14,72,16,30,48,94,22,65,89,72,79,0,83,49,28,0,2,70,0,52,68,29,0,12,0,65,56,0,82,66,93,35,39,0,37,27,37,48,19,0,0,0,29,76,32,66,58,86,0,47,0,0,46,68,49,26,16,84,100,31,37,0,0,0,61,42,100,87,61,63,61,85,12,33,0,0,0,0,0,13,28,0,49,83,88,23,57,88,54,84,93,47,88,78,0,0,19,0,0,0,83,28,41,28,0,39,40,0,0,0,60,99,16,15,67,98,66,21,97,30,18,55,46,87,63,86,42,30,86,24,68,8,62,74,12,0,5,0,35,42,94,76,88,47,73,72,75,75,65,76,33,26,7,0,0,50,47,75,84,36,86,69,75,90,0,0,19,74,50,12,57,68,94,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,97,27,35,76,39,86,59,81,48,20,81,44,62,28,80,78,46,0,13,0,0,30,86,90,72,45,74,0,61,67,85,94,32,23,25,0,20,38,22,83,87,100,82,29,45,23,35,21,31,70,75,0
2004-10-01,39,92,35,38,82,50,88,72,87,38,37,85,26,73,43,65,84,5,100,13,74,47,57,94,88,72,61,96,0,86,72,64,91,53,29,11,44,19,0,22,88,80,98,95,77,74,80,68,71,26,57,89,45,46,80,75,76,13,15,40,26,41,25,7,24,4,35,33,65,25,17,0,4,39,17,10,4,16,81,23,59,22,17,26,9,31,13,15,26,2,2,14,0,9,8,66,79,62,87,98,45,78,10,11,10,10,40,27,42,0,13,62,11,35,31,50,35,82,65,12,12,36,38,47,43,0,7,44,20,38,0,0,64,11,87,25,7,17,13,26,11,61,43,19,0,4,0,100,37,78,72,40,62,29,66,72,0,23,44,65,66,18,12,80,57,32,64,97,20,65,91,70,78,0,63,48,27,0,2,68,0,53,27,0,0,11,0,57,56,0,82,72,82,36,40,0,34,27,42,58,20,0,0,0,29,87,29,65,57,70,0,38,0,0,30,66,38,24,16,83,91,26,42,0,0,0,56,46,82,90,53,61,44,83,28,43,0,0,58,0,0,17,37,0,71,86,81,11,72,96,55,71,72,48,69,74,0,0,0,0,0,0,63,0,0,24,0,29,59,100,45,0,68,84,20,0,75,0,54,23,94,30,18,59,42,87,86,96,42,30,85,19,71,16,68,94,11,0,6,0,51,40,82,72,100,60,65,70,83,67,61,74,34,20,7,0,24,0,32,80,83,40,100,74,80,91,100,0,17,85,51,12,69,60,66,78,0,95,31,32,82,73,100,100,78,47,25,100,49,24,49,79,100,0,9,0,0,99,100,79,30,49,50,61,69,45,46,53,64,13,100,36,98,35,25,90,100,52,69,0,0,25,71,0,48,53,84,40,59,29,88,28,29,78,0,85,72,88,44,19,78,37,57,25,84,85,28,0,15,0,0,30,76,95,69,45,82,0,62,65,83,92,32,23,6,0,0,0,28,80,77,23,86,66,0,18,36,46,35,85,78,0
