"LOCATION","Country","STATISTICS","Reference Statistics","UNIT_MEASURE","Unit of measurement","TIME","Year","Value","Flag Codes","Flags"
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",528636,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",556257,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",588842,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",620924,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",661722,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",706385,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",755579,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",802510,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",863395,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",924589,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",998436,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",1087683,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",1178577,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",1260468,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",1302858,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",1417898,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",1499804,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",1536454,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",1598553,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",1623207,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",1657744,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",1759314,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",1842946,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",1946228,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",1980866,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",2067010,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1996","1996",542446.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1997","1997",572549.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1998","1998",604883,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1999","1999",641323,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2000","2000",684053.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2001","2001",730982,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2002","2002",779044.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2003","2003",832952.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2004","2004",893992,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2005","2005",961512.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2006","2006",1043059.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2007","2007",1133130,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2008","2008",1219522.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2009","2009",1281663,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2010","2010",1360378,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2011","2011",1458851,,
