Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669432708,0.700914005,0.703940594,,0.729325958,,,0.653819587,,,,,,,,,,,,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225574257,,,,,,,,,,,,,,,
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087370001,0.154119998,,,,,,,,,,,,,,
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489199996,,,0.699999988,,,,,,,,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417490005,0.419589996,0.411309987,0.453370005,0.438840002,0.424600005,0.388859987,0.41012001,0.365550011,0.378670007,0.400330007,0.401690006,0.421350002,0.519010007,0.517610013,0.53658998,0.60939002,0.611750007,0.613030016,,,,,,,,
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186920002,0.226009995,0.214000002,0.184630007,0.279870003,0.252550006,0.239710003,0.212009996,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,0.238529995,0.222159997,0.240789995,,,,,,,,
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.662209988,,1.514950037,,1.576609969,,1.753620028,,1.85394001,,2.183099985,,2.402420044,,2.383949995,2.246059895,,2.195749998,,,,,,,,,
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.584310055,1.658550024,1.736129999,1.849300027,1.889660001,1.995990038,2.069930077,2.182679892,2.173680067,2.383239985,2.371150017,2.432399988,2.585570097,2.613579988,2.737839937,2.68163991,2.885610104,2.964359999,2.986089945,,,,,,,,
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235330001,0.369500011,0.421240002,0.392890006,0.335999995,0.340009987,0.301550001,0.324959993,0.298310012,0.219940007,0.171650007,0.170059994,0.165539995,0.249760002,0.218480006,0.210840002,0.217240006,0.211410001,0.209910005,,,,,,,,
Burundi,BDI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2007,0.154190004,0.144339994,0.137549996,0.121260002,,,,,,,,,,,
Belgium,BEL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.729629993,1.794759989,1.823619962,1.890679955,1.922359943,2.021680117,1.890730023,1.831840038,1.808979988,1.782310009,1.814260006,1.844120026,1.924129963,1.98537004,2.050800085,2.155329943,2.362689972,2.429640055,2.464679956,,,,,,,,
Benin,BEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158340007,0.181040004,,,,0.190569997,0.338660002,0.271189988,0.241970003,0.170570001,,0.110619999,0.186340004,0.200049996,,,,,,,,,,,,,
Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508660018,0.470479995,0.495400012,0.542140007,0.498849988,0.448610008,0.465939999,0.47378999,0.472000003,0.443399996,0.443129987,0.426829994,0.445800006,0.495660007,0.571439981,0.53628999,0.608479977,0.636420012,0.795130014,,,,,,,,
Bahrain,BHR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099770002,,,,,,,,
"Bahamas, The",BHS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018540001,0.016109999,0.027760001,0.02018,0.025760001,0.01881,0.02148,,,0.270370007,0.327389985,0.261079997,,,,,,,,
Belarus,BLR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998520017,0.730000019,0.705780029,0.845229983,0.722100019,0.708760023,0.620899975,0.611469984,0.627590001,0.678520024,0.660650015,0.962029994,0.741469979,0.642690003,0.693499982,0.700600028,0.667050004,0.673579991,,,,,,,,,
Belize,BLZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058850002,,,,,,,,,,0.205259994,0.2095,0.222169995,0.222829998,0.261220008,0.231150001,0.226060003,0.223169997,,,,,,,,
Bolivia,BOL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32543999,0.31577,0.294950008,0.29835999,0.287440002,0.293579996,0.276630014,,,,,,,0.157000005,,,,,,,,,,,,,
Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998860002,1.031659961,0.975899994,0.998160005,0.962960005,1.001929998,0.987919986,1.082270026,1.129860044,1.120290041,1.159629941,1.140079975,1.151139975,1.236019969,,,,,,,,,
Barbados,BRB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01592,0.01842,0.037009999,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532859981,,,,,,,0.25229001,,,,,,,,,,
Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61619997,1.623739958,1.717460036,1.760439992,1.87184,2.038460016,1.99296999,1.985080004,2.013600111,1.986449957,1.955649972,1.917870045,1.868260026,1.922709942,1.837610006,1.798519969,1.786069989,1.688279986,1.611529946,,,,,,,,
Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736998455,0.75533762,0.735995618,0.741387672,0.746639409,0.751289736,0.740668339,0.732113031,0.737137473,0.738506236,0.75448516,0.759781909,0.787601345,0.833074971,0.876671195,0.95945781,1.058682304,1.068285795,1.097285016,,,,,,,,
Switzerland,CHE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.452080011,,,,2.32682991,,,,2.676919937,,,,2.728579998,,,,2.966619968,,,,,,,,,,
Channel Islands,CHI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310499996,0.374989986,0.352910012,0.330989987,0.353430003,0.364789993,0.391099989,0.379280001,,,,,,,,
China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565129995,0.64102,0.649259984,0.752759993,0.897669971,0.945389986,1.064110041,1.127400041,1.223500013,1.317929983,1.37974,1.384320021,1.457299948,1.678709984,1.727200031,1.79437995,1.92809999,2.014659882,2.046040058,,,,,,,,
Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267769992,0.05799,0.061099999,0.139200002,0.085029997,0.07987,,,,,,,,,,,,,
"Congo, Rep.",COG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299230009,0.273660004,,,0.106030002,0.109449998,0.115970001,0.180380002,0.154320002,0.15433,0.153899997,0.18163,0.194509998,0.192959994,0.195659995,0.20747,0.206929997,0.255380005,0.195339993,,,,,,,,
Comoros,COM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072640002,,,,,,,,,,,
Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298000008,0.290749997,0.257400006,0.331719995,0.387279987,,,0.356819987,0.373180002,,0.43046999,0.364170015,0.398400009,0.541170001,0.482609987,0.474029988,0.570450008,0.56141001,,,,,,,,,
Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347359985,0.401719987,0.501230001,0.458310008,0.478650004,0.56528002,0.564450026,0.582430005,0.602310002,0.549199998,0.441390008,0.436150014,0.500609994,0.614870012,0.607670009,0.271919996,0.407169998,0.474660009,0.405319989,,,,,,,,
