Month of Year ID,Month of Year,Industry ID,Industry,NSA Employees,Date,NSA Employees Growth
"2008-01","January, 2008","60541700","Scientific Research and Development Services",355100,"2008-01-01",2.7785817655571634
"2008-02","February, 2008","60541700","Scientific Research and Development Services",356300,"2008-02-01",2.591419522027066
"2008-03","March, 2008","60541700","Scientific Research and Development Services",358100,"2008-03-01",3.3775981524249423
"2008-04","April, 2008","60541700","Scientific Research and Development Services",359600,"2008-04-01",3.5416066801036568
"2008-05","May, 2008","60541700","Scientific Research and Development Services",361200,"2008-05-01",3.347639484978541
"2008-06","June, 2008","60541700","Scientific Research and Development Services",365100,"2008-06-01",3.077357425183512
"2008-07","July, 2008","60541700","Scientific Research and Development Services",371100,"2008-07-01",4.564666103127641
"2008-08","August, 2008","60541700","Scientific Research and Development Services",366400,"2008-08-01",4.150085275724844
"2008-09","September, 2008","60541700","Scientific Research and Development Services",362800,"2008-09-01",4.463000287935502
"2008-10","October, 2008","60541700","Scientific Research and Development Services",362500,"2008-10-01",2.112676056338028
"2008-11","November, 2008","60541700","Scientific Research and Development Services",363000,"2008-11-01",1.79472798653954
"2008-12","December, 2008","60541700","Scientific Research and Development Services",363800,"2008-12-01",1.4500836586726158
"2009-01","January, 2009","60541700","Scientific Research and Development Services",360700,"2009-01-01",1.5770205575894116
"2009-02","February, 2009","60541700","Scientific Research and Development Services",360600,"2009-02-01",1.2068481616615212
"2009-03","March, 2009","60541700","Scientific Research and Development Services",359500,"2009-03-01",0.3909522479754258
"2009-04","April, 2009","60541700","Scientific Research and Development Services",357300,"2009-04-01",-0.6395995550611792
"2009-05","May, 2009","60541700","Scientific Research and Development Services",357300,"2009-05-01",-1.0797342192691028
"2009-06","June, 2009","60541700","Scientific Research and Development Services",360300,"2009-06-01",-1.314708299096138
"2009-07","July, 2009","60541700","Scientific Research and Development Services",363900,"2009-07-01",-1.9401778496362168
"2009-08","August, 2009","60541700","Scientific Research and Development Services",361200,"2009-08-01",-1.4192139737991267
"2009-09","September, 2009","60541700","Scientific Research and Development Services",356600,"2009-09-01",-1.7089305402425579
"2009-10","October, 2009","60541700","Scientific Research and Development Services",356900,"2009-10-01",-1.5448275862068965
"2009-11","November, 2009","60541700","Scientific Research and Development Services",357900,"2009-11-01",-1.4049586776859504
"2009-12","December, 2009","60541700","Scientific Research and Development Services",360200,"2009-12-01",-0.9895547003848268
"2010-01","January, 2010","60541700","Scientific Research and Development Services",355300,"2010-01-01",-1.49708899362351
"2010-02","February, 2010","60541700","Scientific Research and Development Services",356900,"2010-02-01",-1.0260676650027731
"2010-03","March, 2010","60541700","Scientific Research and Development Services",358000,"2010-03-01",-0.4172461752433936
