run_name,run_id,state,variant,created_at,batch_size,learning_rate,hidden1_dim,hidden2_dim,hidden3_dim,embedding_dim,size_ensemble,num_epochs,patience,lr_milestone,lr_gamma,optimizer,weight_decay,dropout_rate,dataset_variant_cfg,test_rmse,test_mae,test_mape,test_r2,val_rmse,val_mae,val_mape,train_rmse
ncy50wx6,UnVuOnYxOm5jeTUwd3g2Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-16T14:30:32Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,MGTwRD,235.1422576904297,151.5640869140625,81.8447036743164,-5.059006214141846,183.2563934326172,120.20565032958984,76.24578857421875,138.39716796875
czo7fruv,UnVuOnYxOmN6bzdmcnV2Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-16T14:30:32Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,Macros,214.7073516845703,132.36134338378906,74.18508911132812,-0.16576695442199707,171.0960693359375,111.55110168457033,78.18975830078125,132.78772735595703
xkm68nhm,UnVuOnYxOnhrbTY4bmhtOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGT,2025-12-16T14:30:31Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,AGT,224.7523498535156,143.35830688476562,107.55725860595705,-4.054055213928223,177.54684448242188,120.70560455322266,114.47338104248048,135.2349655151367
ghy351lp,UnVuOnYxOmdoeTM1MWxwOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AllVar,2025-12-16T14:30:31Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,AllVar,229.1332550048828,140.7000274658203,82.23698425292969,-7.054605484008789,177.68502807617188,113.74945831298828,84.77527618408203,140.48048248291016
fi09iw93,UnVuOnYxOmZpMDlpdzkzOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGT,2025-12-16T14:30:31Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,MGT,224.7523498535156,143.35830688476562,107.55725860595705,-4.054055213928223,177.54684448242188,120.70560455322266,114.47338104248048,135.2349655151367
9mdko61x,UnVuOnYxOjltZGtvNjF4Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-16T14:30:31Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,LagRD,120.17639923095705,97.71385192871094,74.24066925048828,0.6573696136474609,99.044921875,84.64765930175781,79.35315704345703,140.71654663085937
0q4ylr5c,UnVuOnYxOjBxNHlscjVjOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-16T14:30:31Z,32.0,0.014925056991072995,256.0,20.0,20.0,4.0,5.0,18000.0,8000.0,1200.0,0.5,adamw,0.0001,0.1,AGTwRD,237.81304931640625,158.53512573242188,75.92684936523438,-2.253648281097412,190.29966735839844,129.33953857421875,76.27837371826172,149.20034484863282
pjbe73cm,UnVuOnYxOnBqYmU3M2NtOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-16T14:25:34Z,64.0,0.018289985521551935,256.0,32.0,32.0,4.0,5.0,18000.0,12000.0,1200.0,0.1,adamw,0.001,0.0,AGTwRD,207.72523498535156,134.69224548339844,84.68128204345703,-1.4824345111846924,160.8355712890625,101.1815948486328,69.4578857421875,133.8692367553711
m4fulqoh,UnVuOnYxOm00ZnVscW9oOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGT,2025-12-16T14:25:34Z,64.0,0.018289985521551935,256.0,32.0,32.0,4.0,5.0,18000.0,12000.0,1200.0,0.1,adamw,0.001,0.0,MGT,223.59783935546875,144.0157470703125,94.60208129882812,-4.002264499664307,170.71185302734375,107.94670104980467,81.44678497314453,132.9701705932617
b7fl6x01,UnVuOnYxOmI3Zmw2eDAxOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGT,2025-12-16T14:25:34Z,64.0,0.018289985521551935,256.0,32.0,32.0,4.0,5.0,18000.0,12000.0,1200.0,0.1,adamw,0.001,0.0,AGT,223.59783935546875,144.0157470703125,94.60208129882812,-4.002264499664307,170.71185302734375,107.94670104980467,81.44678497314453,132.9701705932617
8v2mzo9e,UnVuOnYxOjh2Mm16bzllOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-16T14:25:34Z,64.0,0.018289985521551935,256.0,32.0,32.0,4.0,5.0,18000.0,12000.0,1200.0,0.1,adamw,0.001,0.0,MGTwRD,220.0499725341797,135.25633239746094,79.37571716308594,-4.306188106536865,167.27676391601562,106.8878173828125,81.02658081054688,132.13656311035157
