"Year","Month","Monthly_RD_Expenditure"
2004,1,28.688237282898
2004,2,28.0386032639846
2004,3,30.0931395578973
2004,4,30.6333424335577
2004,5,33.0627543992953
2004,6,33.2544075087679
2004,7,36.4270251773139
2004,8,32.2225893089656
2004,9,27.5393104116167
2004,10,28.2327981289782
2004,11,32.8381373540475
2004,12,33.8666828966522
2005,1,31.4615155398743
2005,2,30.4934522754843
2005,3,33.6500493216966
2005,4,32.4918181436384
2005,5,35.1788021128944
2005,6,34.764156329613
2005,7,35.9844842594659
2005,8,32.2556477236717
2005,9,29.6351244067091
2005,10,29.2210080367915
2005,11,32.055035311153
2005,12,33.1153968434087
2006,1,35.30346727897
2006,2,35.0798265185375
2006,3,36.9804848612701
2006,4,30.0198173238652
2006,5,35.947193810547
2006,6,34.625655438862
2006,7,36.633343669143
2006,8,35.4435467782351
2006,9,31.4652671580101
2006,10,29.807644289955
2006,11,32.8944423663793
2006,12,33.9464427806876
2007,1,36.5246980658169
2007,2,33.855521778791
2007,3,37.6945684492484
2007,4,33.5808743781561
2007,5,38.7053590596694
2007,6,36.9602582926724
2007,7,38.8007442801057
2007,8,36.7338717853361
2007,9,32.8273402925849
2007,10,32.3450929487437
2007,11,33.890640006747
2007,12,35.8357342274704
2008,1,37.3624807260872
2008,2,36.745148993141
2008,3,39.1165915125153
2008,4,35.6159967768006
2008,5,37.6091787237613
2008,6,40.832556558926
2008,7,39.7222103455026
2008,8,38.2395986574368
2008,9,33.9390601023044
2008,10,35.7880045091079
2008,11,36.9296951091067
2008,12,37.6099267676472
2009,1,34.5038790513281
2009,2,35.6169067082288
2009,3,37.0941334089327
2009,4,38.217646229763
2009,5,37.7733250845989
2009,6,40.2172634452594
2009,7,41.3097383344391
2009,8,40.6980537909665
2009,9,33.5997409307427
2009,10,31.6618434869577
2009,11,37.6063434647557
2009,12,37.0223268923694
2010,1,37.3040469306713
2010,2,35.5167671637215
2010,3,37.7073723116369
2010,4,35.478404420193
2010,5,38.4418559157215
2010,6,41.9536026516187
2010,7,43.1959120614222
2010,8,39.9343564538418
2010,9,32.7736780022943
2010,10,33.7926738822277
2010,11,33.8617637204632
2010,12,34.748148376648
2011,1,38.82756974914
2011,2,36.3042847743038
2011,3,39.8842644956956
2011,4,36.3475773622169
2011,5,38.0047273701718
2011,6,40.8768531393659
2011,7,45.8296516401783
2011,8,38.9519616896249
2011,9,33.5801858675042
2011,10,34.287770858914
2011,11,35.7832906975031
2011,12,36.8475352641696
2012,1,38.3322423380927
2012,2,37.849118334681
2012,3,37.9967734699162
2012,4,37.9247616326346
2012,5,39.6361796464693
2012,6,44.054969566281
2012,7,44.6772384463298
2012,8,38.2830406023781
2012,9,33.1110943666381
2012,10,34.30355280596
2012,11,32.7110470730984
2012,12,35.9403883964189
2013,1,38.6598074655354
2013,2,38.482854913421
2013,3,38.9224580300009
2013,4,37.6740779868615
2013,5,40.2919060960009
2013,6,44.9133973922323
2013,7,44.2024921071675
2013,8,43.4207795351011
2013,9,35.4384949539802
2013,10,32.408200446948
2013,11,36.9096909339997
2013,12,36.9530643104017
2014,1,36.9706561174853
2014,2,40.5507147863867
2014,3,39.1688663366842
2014,4,40.0036708920944
2014,5,41.4698345946414
2014,6,46.1984845714102
2014,7,46.8767165086491
2014,8,45.246495148809
2014,9,36.2432135115929
2014,10,34.3308299240178
2014,11,36.4040758302433
2014,12,38.3119244000526
2015,1,40.4351121581914
2015,2,41.862716517406
2015,3,43.9230828008522
2015,4,42.7193714359559
2015,5,46.041704675894
2015,6,46.5310407805877
2015,7,49.1340168659524
2015,8,46.788206762691
2015,9,36.1709420535705
2015,10,37.0888753321751
2015,11,37.3910899332173
2015,12,39.3148406835066
2016,1,43.1070227934286
2016,2,40.7569701187678
2016,3,43.8900106497481
2016,4,42.2166914608195
2016,5,44.5682496789465
2016,6,50.4854512449744
2016,7,54.0219604993
2016,8,47.0831215225129
2016,9,37.7821101296772
2016,10,39.9716502349646
2016,11,40.9267349449318
2016,12,43.3617276249856
2017,1,47.2013571295342
2017,2,40.8153403533238
2017,3,43.9273773193896
2017,4,52.2413131786613
2017,5,44.9968825849721
2017,6,51.1416973972573
2017,7,54.3687012648094
2017,8,47.9333732806726
2017,9,44.7173920794819
2017,10,38.6022442401824
2017,11,40.7389327951698
2017,12,42.9463579031858
2018,1,43.1685360084075
2018,2,44.5410170166975
2018,3,50.0020448720278
2018,4,48.301590594633
2018,5,55.2542531197527
2018,6,58.7092885457592
2018,7,59.7034984216858
2018,8,50.9941444695278
2018,9,38.8205455481799
2018,10,41.7322318492964
2018,11,45.0810192438188
2018,12,50.1191760622214
2019,1,49.1027900586767
2019,2,48.4212107182351
2019,3,46.6341346430487
2019,4,46.7104632536931
2019,5,53.6810072768872
2019,6,64.3453719534517
2019,7,62.2324027328319
2019,8,58.1899328060781
2019,9,52.0832504781083
2019,10,52.0346633211114
2019,11,49.149651590035
2019,12,49.2605741469367
2020,1,64.8575094903009
2020,2,57.1789485216787
2020,3,48.8417392938259
2020,4,41.4356584765189
2020,5,55.8991122379014
2020,6,62.281890575743
2020,7,64.4119585243446
2020,8,55.0352772661056
2020,9,48.1622180077298
2020,10,58.144948248659
2020,11,55.2957635785278
2020,12,60.4182438266475
2021,1,57.1981276158798
2021,2,57.0099001603085
2021,3,60.0515078197742
2021,4,57.1901593642567
2021,5,61.9078286688688
2021,6,64.4759300431366
2021,7,66.4385154023582
2021,8,63.9056310116516
2021,9,52.9951935425598
2021,10,53.703170278717
2021,11,57.5208445648773
2021,12,57.3160918399525
