"Year","Month","Monthly_RD_Expenditure"
2004,1,32.9606514484556
2004,2,28.4558868950222
2004,3,30.2525550930859
2004,4,33.7808424765506
2004,5,31.6507212929523
2004,6,31.6587891196557
2004,7,32.9217596441761
2004,8,30.4018512590676
2004,9,32.6307118488807
2004,10,31.766303426661
2004,11,30.3444773786476
2004,12,28.0724778408197
2005,1,32.6671964988913
2005,2,32.544889218487
2005,3,35.7795726606667
2005,4,33.8750117317527
2005,5,29.6011765246062
2005,6,33.2454243669526
2005,7,30.0612715531735
2005,8,34.9235512406195
2005,9,34.2360364309853
2005,10,30.9919574982107
2005,11,31.8481434937687
2005,12,30.532259086287
2006,1,35.013139522378
2006,2,34.8342699673328
2006,3,38.5993575231929
2006,4,36.8786690520013
2006,5,33.8555136040802
2006,6,33.6094958619321
2006,7,31.8792424183594
2006,8,31.6968876335872
2006,9,31.9955079222751
2006,10,34.4949787731576
2006,11,32.995797175069
2006,12,32.2942728210963
2007,1,33.9689213714052
2007,2,37.4531488693721
2007,3,36.9922024193878
2007,4,36.6768488716377
2007,5,35.7294986670825
2007,6,35.5832246210842
2007,7,36.765081838147
2007,8,37.4714265283471
2007,9,33.7704645176445
2007,10,36.3843020107406
2007,11,35.8187776702519
2007,12,31.1408061802414
2008,1,39.3632546599204
2008,2,33.4860654458338
2008,3,40.2129505181045
2008,4,37.8504984863919
2008,5,36.8427044521292
2008,6,39.5811440722983
2008,7,37.5198452777637
2008,8,35.5720366523734
2008,9,37.1794671005526
2008,10,42.1945448477368
2008,11,34.0869254179271
2008,12,35.6210118513054
2009,1,35.2489393544582
2009,2,36.8706860077405
2009,3,39.0561565142298
2009,4,38.5499542854467
2009,5,36.5088271719195
2009,6,38.6856689638381
2009,7,37.2093057707204
2009,8,38.2141263957071
2009,9,35.8982124925994
2009,10,39.0599893575749
2009,11,35.9400016408502
2009,12,34.0793328732573
2010,1,37.3324562217654
2010,2,37.7185865053814
2010,3,43.8650382103662
2010,4,42.4547292761795
2010,5,37.9212417405837
2010,6,37.3294387953287
2010,7,36.5611825537783
2010,8,35.9587758287146
2010,9,33.3616731436752
2010,10,34.3210838547451
2010,11,36.323907300291
2010,12,31.560468459651
2011,1,39.8456401814422
2011,2,38.1499058115584
2011,3,43.4273188213024
2011,4,41.0401340500366
2011,5,38.0567237299561
2011,6,38.4856959971162
2011,7,37.7637950698583
2011,8,37.7962369281492
2011,9,35.4779181051565
2011,10,36.6412974380226
2011,11,35.6159709688511
2011,12,33.2250358073384
2012,1,40.3176817337952
2012,2,40.7940533754154
2012,3,39.7297014335373
2012,4,38.657801840876
2012,5,39.6642533244553
2012,6,40.4733220112585
2012,7,36.9580012999513
2012,8,37.3302533538792
2012,9,37.548880461094
2012,10,37.8159263528314
2012,11,33.4829459068017
2012,12,32.0475855850027
2013,1,38.9376973635049
2013,2,39.6320176398373
2013,3,39.0331014104391
2013,4,40.1145563875472
2013,5,40.1772863496426
2013,6,39.6177304571196
2013,7,39.0005855114321
2013,8,39.7265644463031
2013,9,38.1497664012638
2013,10,38.7856571306215
2013,11,38.7432044559623
2013,12,36.3590566179765
2014,1,41.1461640241047
2014,2,43.5595357498045
2014,3,40.333382756249
2014,4,42.6719933564589
2014,5,39.8435210040486
2014,6,39.4011763106138
2014,7,42.6564183389162
2014,8,39.9498938636086
2014,9,40.7307648665664
2014,10,39.2466831726946
2014,11,36.6245713400252
2014,12,35.6113778389766
2015,1,40.6233282606909
2015,2,41.4446414962576
2015,3,43.6444823896855
2015,4,45.7748387074028
2015,5,43.5386171480685
2015,6,43.4375246680306
2015,7,42.0698780049277
2015,8,45.2061093006287
2015,9,41.2773982459624
2015,10,42.3842275681599
2015,11,39.6766045736136
2015,12,38.3233496365718
2016,1,45.647177617306
2016,2,46.1285673135061
2016,3,46.2872775254006
2016,4,46.5805730083508
2016,5,46.2536316765223
2016,6,46.625375489312
2016,7,45.6341686153499
2016,8,44.1001014359143
2016,9,43.8158226054356
2016,10,43.4356693793418
2016,11,38.2789087698635
2016,12,35.3844274667541
2017,1,41.8731281449768
2017,2,42.8029557323669
2017,3,44.8845499619526
2017,4,54.7276013029209
2017,5,46.6569288934822
2017,6,45.7481121069065
2017,7,44.422450512367
2017,8,45.5407340032456
2017,9,45.3115237366154
2017,10,50.0025453561715
2017,11,46.6683804450848
2017,12,40.9920593305498
2018,1,48.7125272080325
2018,2,50.925620185986
2018,3,51.3499000887713
2018,4,51.3011191115688
2018,5,48.599540229475
2018,6,48.2224223084975
2018,7,49.5918806540573
2018,8,48.7065430850094
2018,9,45.0138975884834
2018,10,49.1501006965849
2018,11,47.8023891932594
2018,12,47.0514054022826
2019,1,54.80031396567
2019,2,54.8018654374564
2019,3,52.8627757344798
2019,4,54.4785751133591
2019,5,53.8152679590093
2019,6,57.1244135901273
2019,7,52.3677447435473
2019,8,51.7154098748861
2019,9,50.7945917148856
2019,10,51.40141739702
2019,11,49.3466538919055
2019,12,48.3364235567478
2020,1,56.3847411440971
2020,2,56.7782221948502
