Year,Month,Country,Monthly_RD_Expenditure_Tempdisagg_GT_NNelasticity,Monthly_RD_Expenditure_Tempdisagg_Sax,Monthly_RD_Expenditure_Tempdisagg_Mosley
2004,1,US,35.81367278738555,28.688237282898,32.9606514484556
2004,2,US,33.29195302971974,28.0386032639846,28.4558868950222
2004,3,US,28.643101364155704,30.0931395578973,30.2525550930859
2004,4,US,34.60271935208108,30.6333424335577,33.7808424765506
2004,5,US,25.638630372890955,33.0627543992953,31.6507212929523
2004,6,US,29.37712335660832,33.2544075087679,31.6587891196557
2004,7,US,31.805687503717795,36.4270251773139,32.9217596441761
2004,8,US,31.38208547675611,32.2225893089656,30.4018512590676
2004,9,US,30.430616553757453,27.5393104116167,32.6307118488807
2004,10,US,40.00072723457327,28.2327981289782,31.766303426661
2004,11,US,28.15515701795441,32.8381373540475,30.3444773786476
2004,12,US,25.755553674374617,33.8666828966522,28.0724778408197
2005,1,US,36.27126109183896,31.4615155398743,32.6671964988913
2005,2,US,35.30202250311221,30.4934522754843,32.544889218487
2005,3,US,36.05852165556448,33.6500493216966,35.7795726606667
2005,4,US,35.93034276127027,32.4918181436384,33.8750117317527
2005,5,US,27.357384143256652,35.1788021128944,29.6011765246062
2005,6,US,32.60976230283545,34.764156329613,33.2454243669526
2005,7,US,26.759802964960265,35.9844842594659,30.0612715531735
2005,8,US,40.39220338686103,32.2556477236717,34.9235512406195
2005,9,US,32.97161794795279,29.6351244067091,34.2360364309853
2005,10,US,31.6997014100631,29.2210080367915,30.9919574982107
2005,11,US,28.263442250325244,32.055035311153,31.8481434937687
2005,12,US,26.69042788636062,33.1153968434087,30.532259086287
2006,1,US,36.22449543166551,35.30346727897,35.013139522378
2006,2,US,39.6042435221044,35.0798265185375,34.8342699673328
2006,3,US,38.278946367596255,36.9804848612701,38.5993575231929
2006,4,US,34.648840411738185,30.0198173238652,36.8786690520013
2006,5,US,32.49748430032583,35.947193810547,33.8555136040802
2006,6,US,32.586298975261585,34.625655438862,33.6094958619321
2006,7,US,31.495111662201065,36.633343669143,31.8792424183594
2006,8,US,34.374588048614605,35.4435467782351,31.6968876335872
2006,9,US,30.15963370191248,31.4652671580101,31.9955079222751
2006,10,US,33.77395230182557,29.807644289955,34.4949787731576
2006,11,US,31.824109613573665,32.8944423663793,32.995797175069
2006,12,US,32.679427937642906,33.9464427806876,32.2942728210963
2007,1,US,36.294390473784745,36.5246980658169,33.9689213714052
2007,2,US,41.68782183354508,33.855521778791,37.4531488693721
2007,3,US,36.33543367568011,37.6945684492484,36.9922024193878
2007,4,US,40.70131663850732,33.5808743781561,36.6768488716377
2007,5,US,35.25369981742581,38.7053590596694,35.7294986670825
2007,6,US,33.09163431083394,36.9602582926724,35.5832246210842
2007,7,US,34.623429352706175,38.8007442801057,36.765081838147
2007,8,US,34.38496180241646,36.7338717853361,37.4714265283471
2007,9,US,33.41538284776755,32.8273402925849,33.7704645176445
2007,10,US,36.48185465701702,32.3450929487437,36.3843020107406
2007,11,US,34.77828118762201,33.890640006747,35.8187776702519
2007,12,US,30.70649696803585,35.8357342274704,31.1408061802414
2008,1,US,42.00224579012698,37.3624807260872,39.3632546599204
